model,language,label,f1,precision,recall
Logistic regression,amh,non_polarized,0.49829351535836175,0.5615384615384615,0.44785276073619634
Logistic regression,amh,polarized,0.8587896253602306,0.8324022346368715,0.8869047619047619
Logistic regression,arb,non_polarized,0.7012622720897616,0.7374631268436578,0.6684491978609626
Logistic regression,arb,polarized,0.6666666666666666,0.6320474777448071,0.7052980132450332
Logistic regression,ben,non_polarized,0.8382165605095542,0.8163771712158809,0.8612565445026178
Logistic regression,ben,polarized,0.7686703096539161,0.7992424242424242,0.7403508771929824
Logistic regression,deu,non_polarized,0.6273291925465838,0.6516129032258065,0.6047904191616766
Logistic regression,deu,polarized,0.6178343949044586,0.5950920245398773,0.6423841059602649
Logistic regression,eng,non_polarized,0.7976608187134504,0.7662921348314606,0.8317073170731707
Logistic regression,eng,polarized,0.6022988505747127,0.655,0.5574468085106383
Logistic regression,fas,non_polarized,0.6631853785900784,0.5990566037735849,0.7426900584795322
Logistic regression,fas,polarized,0.8620320855614972,0.901565995525727,0.8258196721311475
Logistic regression,hau,non_polarized,0.932601880877743,0.9550561797752809,0.9111791730474732
Logistic regression,hau,polarized,0.5376344086021506,0.46296296296296297,0.6410256410256411
Logistic regression,hin,non_polarized,0.5732484076433121,0.5844155844155844,0.5625
Logistic regression,hin,polarized,0.9287991498405951,0.9258474576271186,0.9317697228144989
Logistic regression,ita,non_polarized,0.6524633821571239,0.6843575418994413,0.6234096692111959
Logistic regression,ita,polarized,0.5523156089193826,0.5210355987055016,0.5875912408759124
Logistic regression,khm,non_polarized,0.4382470119521912,0.4263565891472868,0.45081967213114754
Logistic regression,khm,polarized,0.9413721413721414,0.9441201000834029,0.9386401326699834
Logistic regression,mya,non_polarized,0.7720739219712526,0.7642276422764228,0.7800829875518672
Logistic regression,mya,polarized,0.8340807174887892,0.8403614457831325,0.827893175074184
Logistic regression,nep,non_polarized,0.856447688564477,0.8301886792452831,0.8844221105527639
Logistic regression,nep,polarized,0.8491048593350383,0.8783068783068783,0.8217821782178217
Logistic regression,ori,non_polarized,0.8506787330316742,0.8650306748466258,0.8367952522255193
Logistic regression,ori,polarized,0.6526315789473683,0.6283783783783784,0.6788321167883211
Logistic regression,pan,non_polarized,0.7015384615384616,0.7450980392156863,0.6627906976744186
Logistic regression,pan,polarized,0.7267605633802817,0.6898395721925134,0.7678571428571429
Logistic regression,pol,non_polarized,0.7379679144385025,0.7314487632508834,0.7446043165467626
Logistic regression,pol,polarized,0.6297229219143576,0.6377551020408163,0.6218905472636815
Logistic regression,rus,non_polarized,0.8338762214983714,0.8421052631578947,0.8258064516129032
Logistic regression,rus,polarized,0.6348448687350835,0.6214953271028038,0.6487804878048781
Logistic regression,spa,non_polarized,0.6878612716763005,0.6556473829201102,0.723404255319149
Logistic regression,spa,polarized,0.6571428571428571,0.6946308724832215,0.6234939759036144
Logistic regression,swa,non_polarized,0.7983651226158038,0.7610389610389611,0.839541547277937
Logistic regression,swa,polarized,0.7774436090225563,0.821939586645469,0.7375178316690443
Logistic regression,tel,non_polarized,0.7955555555555555,0.7748917748917749,0.817351598173516
Logistic regression,tel,polarized,0.8152610441767068,0.8353909465020576,0.796078431372549
Logistic regression,tur,non_polarized,0.6804979253112033,0.6833333333333333,0.6776859504132231
Logistic regression,tur,polarized,0.6681034482758621,0.6652360515021459,0.670995670995671
Logistic regression,urd,non_polarized,0.5919282511210764,0.5789473684210527,0.6055045871559633
Logistic regression,urd,polarized,0.8142857142857143,0.822680412371134,0.806060606060606
Logistic regression,zho,non_polarized,0.7456140350877194,0.7083333333333334,0.7870370370370371
Logistic regression,zho,polarized,0.71,0.7553191489361702,0.6698113207547169
